日期,平均温度 (°F),平均湿度 (%),平均露点(°F),平均气压（英寸）,平均风速（mph）,平均阵风速度（mph）,平均方向（°deg）,月降水量（in）年,降水量（in ）,每分钟最大雨量,最高温度（°F）,最低温度（°F）,最高湿度（％）,最低湿度（％）,最高压力,最低压力,最大风速（mph）,最大阵风速度（mph）,最大热量指数（°F）,日期,月份,压力差
4/15/2018,40.9,45,18.6,30,3.3,5.5,283,0.28,0.66,0,75.4,24.1,77,16,30.119,29.836,15,19.6,57.3,4/15/2018,4,0.283
4/16/2018,47.4,36,16.4,29.6,6.4,9.2,282,0.28,0.66,0,75.4,27.9,73,10,29.875,29.429,25.3,33.4,65.6,4/16/2018,4,0.446
4/17/2018,41.7,32,10.9,29.5,10.8,16,282,0.28,0.66,0,75.4,26.6,78,12,29.914,29.207,27.6,39.1,53.5,4/17/2018,4,0.707
4/18/2018,35.2,29,4.6,30.1,6.3,9.7,283,0.28,0.66,0,75.4,25.7,44,12,30.22,29.914,24.2,35.7,48.9,4/18/2018,4,0.306
4/19/2018,38.1,37,11.4,30,1.8,3.5,282,0.28,0.66,0,75.4,16.9,66,18,30.262,29.769,13.8,19.6,54.5,4/19/2018,4,0.493
4/20/2018,34,67,23.5,29.8,2.6,4.5,282,0.31,0.69,0,75.4,28.1,92,43,30.005,29.69,11.5,17.3,41.9,4/20/2018,4,0.315
4/21/2018,31.1,89,28.2,30.1,1.4,2.6,282,0.56,0.94,0,75.4,26.7,93,81,30.159,30.006,8.1,10.4,36.2,4/21/2018,4,0.153
4/4/2018,40.7,19,0.3,29.8,13.9,20.5,282,0.02,0.4,0,75.4,27,36,11,30.096,29.708,39.1,46,48.8,4/4/2018,4,0.388
4/5/2018,44.8,38,20.1,29.8,8.7,12.2,282,0.02,0.4,0,75.4,39.6,59,22,29.824,29.65,25.3,33.4,57,4/5/2018,4,0.174
4/6/2018,26,81,20.9,29.9,3.4,5.2,283,0.02,0.4,0,75.4,17.2,89,59,30.143,29.66,11.5,18.4,39.8,4/6/2018,4,0.483
4/7/2018,37.3,69,27.1,29.8,3.8,5.6,282,0.19,0.57,0,75.4,18.3,89,43,30.121,29.373,19.6,27.6,51.3,4/7/2018,4,0.748
4/8/2018,40.2,52,23,29.5,10.3,15.1,282,0.26,0.64,0,75.4,34.3,84,29,29.829,29.346,29.9,47.2,47.6,4/8/2018,4,0.483
4/9/2018,37.7,48,17.7,30,4.6,7.3,283,0.28,0.66,0,75.4,28.8,84,20,30.203,29.827,15,26.5,49.6,4/9/2018,4,0.376
4/10/2018,46,29,14.2,30,8.8,13.5,282,0.28,0.66,0,75.4,34.7,46,11,30.11,29.799,21.9,33.4,63.2,4/10/2018,4,0.311
4/11/2018,58,19,15.9,29.5,11.3,16.1,282,0.28,0.66,0,75.4,50.1,28,13,29.829,29.347,33.4,42.6,65.6,4/11/2018,4,0.482
4/3/2018,30.4,23,-6.5,29.8,9.3,14.6,283,0.02,0.4,0,75.4,18.6,57,9,30.173,29.243,25.3,36.8,43.4,4/3/2018,4,0.93
2/28/2018,29.6,50,12,29.9,4.6,6.9,283,0.34,0.41,0,75.3,18.6,77,22,30.056,29.766,17.3,25.3,40.3,2/28/2018,2,0.29
3/23/2018,42,59,28.1,29.5,12.9,19,279,0.09,0.09,0,75.3,34.7,90,20,29.868,13.266,27.6,38,51.4,3/23/2018,3,16.602
3/24/2018,40.9,41,16.1,28.4,3.1,5,282,0.09,0.09,0,75.3,25.1,75,14,29.971,23.684,16.1,26.5,55.1,3/24/2018,3,6.287
3/25/2018,42.7,45,21.1,28.2,4.9,7.9,282,0.09,0.09,0,75.3,32.9,84,20,29.62,23.633,16.1,26.5,52.2,3/25/2018,3,5.987
3/26/2018,34.4,71,24,28.9,3.9,6.2,283,0.1,0.1,0,75.3,25.3,92,22,30.015,23.724,17.3,25.3,45.5,3/26/2018,3,6.291
3/27/2018,29.8,78,23.1,29.8,1.6,3.1,283,0.29,0.29,0,75.3,15.9,90,17,30.237,23.823,13.8,20.7,41.2,3/27/2018,3,6.414
3/28/2018,32,61,18.2,29.8,6.2,9.3,283,0.3,0.3,0,75.3,24.5,89,17,29.985,23.853,21.9,33.4,38.9,3/28/2018,3,6.132
3/29/2018,28.1,68,18.4,29.8,4.3,6.9,283,0.38,0.38,0,75.1,17.2,89,38,30.182,23.863,19.6,29.9,40.6,3/29/2018,3,6.319
3/30/2018,39.9,40,15.7,29.5,9,13.9,282,0.38,0.38,0,75.1,22.2,86,24,30.175,23.705,31.1,40.3,52.6,3/30/2018,3,6.47
3/31/2018,40.1,49,20,29.8,7.5,11.4,282,0.38,0.38,0,75.1,24.8,86,22,30.083,23.783,29.9,34.5,55.6,3/31/2018,3,6.3
4/1/2018,39.5,55,20.4,29.7,6.7,10.1,282,0.02,0.4,0,75.1,25.6,89,16,29.974,29.342,23,38,57.8,4/1/2018,4,0.632
4/2/2018,51.7,24,14.7,29.2,13.2,19.6,282,0.02,0.4,0,75.1,43.5,52,15,29.378,29.04,28.8,42.6,62.1,4/2/2018,4,0.338
2/21/2018,11,57,-2.8,30.4,2.3,3.9,283,0.33,0.4,0,75.1,-4.1,76,19,30.585,30.278,16.1,24.2,28.2,2/21/2018,2,0.307
2/22/2018,13.7,67,3.6,30.2,3.3,5.1,283,0.33,0.4,0,75.1,-1.4,81,27,30.361,29.984,19.6,26.5,34.9,2/22/2018,2,0.377
2/23/2018,18.8,71,10.4,30.1,2.1,3.5,283,0.34,0.41,0,75.1,6.9,85,34,30.322,29.959,9.2,11.5,28.1,2/23/2018,2,0.363
2/24/2018,15.2,48,-1.8,30,12.7,18.7,283,0.34,0.41,0,75.1,6.5,83,31,30.081,29.883,29.9,48.3,20.3,2/24/2018,2,0.198
2/25/2018,19.9,37,-2.9,30.1,10.9,15.9,283,0.34,0.41,0,75.1,12.6,55,23,30.219,30.003,26.5,39.1,26.9,2/25/2018,2,0.216
2/26/2018,29.4,28,-0.6,30,9.1,13.3,282,0.34,0.41,0,75.1,16.9,45,16,30.172,29.843,24.2,36.8,40.9,2/26/2018,2,0.329
2/27/2018,30.1,32,0.9,29.9,6.4,9.2,283,0.34,0.41,0,75.1,14.4,59,14,29.959,29.806,19.6,28.8,43.9,2/27/2018,2,0.153
2/14/2018,39.2,42,17.9,29.8,11.6,17.4,282,0.18,0.25,0,75,33.1,70,31,30.058,29.679,27.6,44.9,45.4,2/14/2018,2,0.379
2/15/2018,29.7,52,13.7,29.9,6.2,9.5,283,0.18,0.25,0,74.9,13.8,82,34,30.33,29.608,15,26.5,37.6,2/15/2018,2,0.722
2/16/2018,27.9,34,1.2,30.1,13.7,19.4,283,0.18,0.25,0,74.9,10.5,81,19,30.368,29.842,29.9,42.6,38.2,2/16/2018,2,0.526
2/17/2018,34.2,25,1.3,29.9,14.2,21.3,282,0.18,0.25,0,74.9,25.3,38,16,30.015,29.607,38,42.6,44.2,2/17/2018,2,0.408
2/18/2018,40.6,30,8,29.4,14.4,21.7,282,0.18,0.25,0,74.9,19.7,84,17,29.607,29.199,32.2,49.5,49.8,2/18/2018,2,0.408
2/19/2018,8.5,74,1.9,29.7,4.4,7,283,0.18,0.25,0,74.9,-2.2,85,55,30.025,29.442,12.7,17.3,19.7,2/19/2018,2,0.583
2/20/2018,5.4,63,-5,30.3,3.4,5.2,283,0.29,0.36,0,74.9,-9.3,76,30,30.557,30.024,16.1,25.3,21.8,2/20/2018,2,0.533
2/9/2018,34.6,49,14.6,29.8,11.6,17,282,0.06,0.13,0,74.9,10.7,82,16,29.994,29.524,31.1,38,50.5,2/9/2018,2,0.47
2/10/2018,15.2,74,8.1,30,2.8,4.4,283,0.08,0.15,0,74.9,4.8,81,39,30.244,29.81,12.7,19.6,28.2,2/10/2018,2,0.434
2/11/2018,21.8,40,0.1,30.1,6.6,9.9,283,0.09,0.16,0,74.9,4.3,70,25,30.262,29.969,20.7,32.2,34.3,2/11/2018,2,0.293
2/12/2018,18.9,70,10.4,30.1,1.8,3.1,283,0.09,0.16,0,74.9,12.8,85,51,30.264,29.957,10.4,12.7,31,2/12/2018,2,0.307
2/13/2018,32.2,61,19.2,30.2,7.3,10.7,282,0.18,0.25,0,74.9,18.3,89,38,30.292,30.022,19.6,31.1,41.8,2/13/2018,2,0.27
2/6/2018,31.2,44,10.7,30,6.1,9.5,283,0.06,0.13,0,74.8,20.8,83,24,30.166,29.839,15,24.2,41.1,2/6/2018,2,0.327
2/7/2018,35.8,38,12.4,30.1,11.6,16.8,282,0.06,0.13,0,74.7,28.2,49,26,30.219,30.058,26.5,42.6,46,2/7/2018,2,0.161
2/8/2018,40.8,38,16.4,30,10.1,15.9,282,0.06,0.13,0,74.7,35.5,48,24,30.16,29.817,23,35.7,50.5,2/8/2018,2,0.343
1/31/2018,39.2,35,11,29.7,13.4,19.5,282,0.07,0.07,0,74.7,18.9,84,21,29.998,29.555,34.5,44.9,48.2,1/31/2018,1,0.443
2/2/2018,40.5,47,21.8,29.9,10.9,16.2,282,0.02,0.09,0,74.7,30.3,69,42,30.197,29.787,24.2,35.7,41.6,2/2/2018,2,0.41
2/3/2018,39.3,46,19.5,29.7,11.9,18.3,284,0.02,0.09,0,74.7,33.5,79,27,29.821,29.614,31.1,42.6,46.1,2/3/2018,2,0.207
2/4/2018,40.9,43,19.8,29.8,14.7,23.1,284,0.02,0.09,0,74.7,34.4,63,31,29.908,29.574,29.9,43.7,46.7,2/4/2018,2,0.334
2/5/2018,33.8,62,21,29.8,8.1,12.5,282,0.06,0.13,0,74.7,21.1,85,28,30.002,29.513,28.8,46,42.1,2/5/2018,2,0.489
1/29/2018,40.4,33,11.8,30.3,8.1,12.2,282,0.07,0.07,0,74.6,33.2,53,15,30.368,30.098,18.4,28.8,50.8,1/29/2018,1,0.27
1/30/2018,46.4,19,5.5,29.8,11.8,17.7,282,0.07,0.07,0,74.6,39.1,24,13,30.118,29.569,28.8,44.9,55.1,1/30/2018,1,0.549
1/25/2018,42.8,15,-3.2,29.7,7.1,10.3,282,0.07,0.07,0,74.6,32.4,52,9,30.043,29.479,20.7,27.6,52.2,1/25/2018,1,0.564
1/26/2018,25.2,44,5.1,30,6.9,10.5,283,0.07,0.07,0,74.6,18.6,75,24,30.33,29.575,23,33.4,33.1,1/26/2018,1,0.755
1/27/2018,27.5,32,1.1,30.3,12.4,19.2,283,0.07,0.07,0,74.6,21,41,19,30.378,30.175,24.2,40.3,36,1/27/2018,1,0.203
1/28/2018,34.2,39,11,30.3,11.5,18,283,0.07,0.07,0,74.6,27.6,49,24,30.48,30.152,35.7,50.6,44.8,1/28/2018,1,0.328
1/15/2018,16,77,10.1,30.5,2.5,4.5,283,0.04,0.04,0,74.6,-1.2,87,54,30.822,30.081,13.8,18.4,30.2,1/15/2018,1,0.741
1/16/2018,13.8,51,-3.6,30.7,1,1.9,283,0.05,0.05,0,74.6,-5.6,76,13,30.979,30.205,11.5,17.3,39.1,1/16/2018,1,0.774
1/17/2018,35.7,20,-3.2,30.3,4.8,7.2,282,0.05,0.05,0,74.6,19.9,49,9,30.523,30.029,17.3,29.9,49.2,1/17/2018,1,0.494
1/18/2018,36.8,17,-5.5,29.9,10.4,11.2,286,0.05,0.05,0,74.6,11.6,31,4,30.13,29.807,23,33.4,55.1,1/18/2018,1,0.323
1/19/2018,48.1,24,12.9,29.6,6.2,9,282,0.05,0.05,0,74.6,39.9,31,6,29.867,29.441,17.3,26.5,56.7,1/19/2018,1,0.426
1/20/2018,35.7,54,18.8,29.6,3.4,5.8,283,0.05,0.05,0,74.6,23.5,89,27,29.812,29.523,11.5,18.4,50.7,1/20/2018,1,0.289
1/21/2018,18.7,79,13.2,30,4.3,6.8,283,0.05,0.05,0,74.6,16.1,89,56,30.167,29.669,16.1,27.6,23.5,1/21/2018,1,0.498
1/22/2018,23.7,34,-1.4,30.2,11.5,17,283,0.07,0.07,0,74.5,17.3,56,21,30.248,30.111,23,32.2,31,1/22/2018,1,0.137
1/23/2018,25.4,36,1.9,30.3,7.9,11.5,283,0.07,0.07,0,74.4,18.8,54,25,30.389,30.174,19.6,29.9,31.3,1/23/2018,1,0.215
1/24/2018,35.6,25,2.7,30.2,12,17.2,283,0.07,0.07,0,74.4,26.9,34,17,30.317,30.015,31.1,40.3,42.3,1/24/2018,1,0.302
1/10/2018,39.5,54,23.3,29.4,6,8.7,283,0.03,0.03,0,74.4,27.3,83,38,29.704,29.247,19.6,27.6,46.8,1/10/2018,1,0.457
1/11/2018,26.7,41,5.6,30,9.9,14.8,283,0.03,0.03,0,74.4,21.8,60,27,30.194,29.696,24.2,35.7,31.6,1/11/2018,1,0.498
1/12/2018,32.5,51,15.8,30.1,10.6,15.4,283,0.03,0.03,0,74.4,21.8,76,30,30.308,29.91,25.3,42.6,41.9,1/12/2018,1,0.398
1/13/2018,32.2,44,12.4,30.3,7.7,11.5,282,0.03,0.03,0,74.4,26.3,50,37,30.313,30.159,18.4,32.2,35.6,1/13/2018,1,0.154
1/14/2018,38,30,7.3,30.2,7.1,10.8,283,0.03,0.03,0,74.4,23.5,60,15,30.348,30.008,24.2,33.4,50.1,1/14/2018,1,0.34
1/1/2018,34.6,25,0.3,30.2,0,0,73,0,0,0,74.4,22.5,48,13,30.292,30.069,0,0,44.1,1/1/2018,1,0.223
1/2/2018,29.7,24,-8.5,30.3,0,0,73,0,0,0,74.4,13.8,57,6,30.465,30.163,0,0,46.2,1/2/2018,1,0.302
1/3/2018,35.9,17,-7.1,30.2,0,0,73,0,0,0,74.4,13.8,38,8,30.449,29.974,0,0,51.6,1/3/2018,1,0.475
1/4/2018,35.9,23,0.7,30.1,0,0,73,0,0,0,74.4,15.6,42,12,30.331,29.929,0,0,50.8,1/4/2018,1,0.402
1/5/2018,43.1,26,10.2,30,0,0,73,0,0,0,74.3,20.5,41,18,30.19,29.922,0,0,51.3,1/5/2018,1,0.268
1/6/2018,41.3,41,18.7,29.9,0,0,73,0,0,0,74.2,27.3,68,27,29.997,29.719,0,0,50.7,1/6/2018,1,0.278
1/7/2018,37.5,40,14.4,29.9,0,0,73,0,0,0,74.2,28.8,68,27,30.044,29.689,0,0,42.3,1/7/2018,1,0.355
1/8/2018,46.9,19,4.9,29.8,0,0,73,0,0,0,74.2,28.8,40,8,29.991,29.7,0,0,56,1/8/2018,1,0.291
1/9/2018,47.6,41,25,29.6,3.5,5.2,291,0,0,0,74.2,36.6,53,31,29.715,29.389,29.9,44.9,53.9,1/9/2018,1,0.326
12/27/2017,35.5,28,5.5,30,0,0,73,0.11,12.78,0,74.2,30.9,39,22,30.148,29.966,0,0,39.3,12/27/2017,12,0.182
12/28/2017,40,20,2.3,30,0,0,73,0.11,12.78,0,74.2,36,28,16,30.08,29.803,0,0,44.3,12/28/2017,12,0.277
12/29/2017,45.5,16,2,29.8,0,0,73,0.11,12.78,0,74.2,39.2,22,11,29.885,29.694,0,0,53.3,12/29/2017,12,0.191
12/30/2017,43.9,20,-0.2,29.7,0,0,73,0.11,12.78,0,74.2,19.1,72,7,30.032,29.536,0,0,54.5,12/30/2017,12,0.496
12/31/2017,20.7,63,9.2,30.2,0,0,74,0.11,12.78,0,74.2,12.4,79,15,30.459,30.016,0,0,35.6,12/31/2017,12,0.443
12/20/2017,42.4,25,8.6,29.6,2.7,8.4,77,0.1,12.77,0,74.2,26.4,50,16,29.826,29.468,81.7,117.3,51.6,12/20/2017,12,0.358
12/21/2017,15.3,75,8.7,30,0.1,0.2,77,0.11,12.78,0,74.1,1.7,83,44,30.339,29.542,24.2,50.6,32.2,12/21/2017,12,0.797
12/22/2017,22.3,54,6.6,30.2,0.3,1.5,77,0.11,12.78,0,74.1,1.7,85,32,30.419,29.906,50.6,67.9,32.2,12/22/2017,12,0.513
12/23/2017,25.7,67,15.8,29.9,0,0.1,86,0.11,12.78,0,74,7.4,88,40,30.238,29.778,12.7,42.6,31.3,12/23/2017,12,0.46
12/24/2017,23.6,30,-4.7,30.1,0,0,76,0.11,12.78,0,74,6,76,15,30.334,29.996,1.2,13.8,30.4,12/24/2017,12,0.338
12/25/2017,30.6,61,18.5,29.9,0,0,74,0.11,12.78,0,74,27.5,81,40,29.996,29.817,0,0,35.9,12/25/2017,12,0.179
12/26/2017,32.7,40,9.8,30,0,0,73,0.11,12.78,0,74,26.6,81,23,30.171,29.897,0,0,39.2,12/26/2017,12,0.274
12/10/2017,41.1,13,-7.4,30.3,8.8,13.3,71,0,12.67,0,74,26,21,7,30.49,30.148,171.4,222,52,12/10/2017,12,0.342
12/11/2017,43.7,15,-3.3,30.2,17.4,31.5,103,0,12.67,0,74,26.3,34,8,30.405,30.113,176,249.6,53.9,12/11/2017,12,0.292
12/12/2017,44.2,24,7.3,30.2,17.3,33.7,82,0,12.67,0,74,23.5,42,13,30.398,29.827,159.9,222,59.5,12/12/2017,12,0.571
12/13/2017,40.9,26,3.7,29.9,10.7,22.8,84,0,12.67,0,74,26.6,84,11,30.045,29.782,181.7,210.5,50.8,12/13/2017,12,0.263
12/14/2017,26,57,10.7,30.2,0.1,0.5,79,0.1,12.77,0,74,15.6,86,24,30.416,30.022,35.7,52.9,34,12/14/2017,12,0.394
12/15/2017,41,18,0.4,29.9,12.4,24.2,78,0.1,12.77,0,74,30.3,27,13,30.173,29.697,135.7,166.8,48.9,12/15/2017,12,0.476
12/16/2017,36.1,31,4.1,29.7,0,0,83,0.1,12.77,0,74,24.5,79,10,29.897,29.617,0,10.4,43.5,12/16/2017,12,0.28
12/17/2017,31.4,50,11.6,29.9,2.4,7.2,78,0.1,12.77,0,74,20.6,84,22,30.084,29.817,51.8,80.5,41.8,12/17/2017,12,0.267
12/18/2017,39.3,35,13.6,29.9,3.8,11.3,80,0.1,12.77,0,74,32.7,42,25,29.947,29.836,55.2,100.1,45.1,12/18/2017,12,0.111
12/19/2017,41.1,32,13,29.9,0,0,85,0.1,12.77,0,74,29.4,52,20,30.031,29.765,0,3.5,51.4,12/19/2017,12,0.266
11/27/2017,53.1,20,12.5,29.5,6.7,10,29,0.83,12.67,0,73.9,37.8,35,11,29.712,29.32,19.6,34.5,66,11/27/2017,11,0.392
11/28/2017,30.2,78,23.7,30.1,2,3.5,59,0.83,12.67,0,73.9,19.5,89,31,30.374,29.552,11.5,16.1,41.1,11/28/2017,11,0.822
11/29/2017,42.4,35,14.7,30,10.2,14.7,337,0.83,12.67,0,73.9,19.4,88,19,30.256,29.801,26.5,38,55,11/29/2017,11,0.455
11/30/2017,38.2,39,11.7,30.1,6.7,9.9,16,0.83,12.67,0,73.9,15.9,80,18,30.321,29.81,25.3,33.4,52.6,11/30/2017,11,0.511
12/1/2017,42.2,38,17.6,29.9,10.1,14,34,0,12.67,0,73.9,28.8,64,26,30.042,29.751,23,33.4,52,12/1/2017,12,0.291
12/2/2017,44.2,36,16.9,29.9,8.4,12.3,30,0,12.67,0,73.9,26.1,72,21,30.068,29.729,23,34.5,55.1,12/2/2017,12,0.339
12/3/2017,46.5,33,17.6,29.5,9.7,14.8,359,0,12.67,0,73.9,33.2,86,18,29.748,29.345,31.1,41.4,55.9,12/3/2017,12,0.403
12/4/2017,25.5,40,4.2,29.9,8.3,12.5,292,0,12.67,0,73.9,20.3,86,26,30.239,29.418,25.3,38,33.5,12/4/2017,12,0.821
12/5/2017,28.6,29,0.2,30.3,9.8,14.6,311,0,12.67,0,73.9,20,41,20,30.368,30.147,21.9,29.9,42.8,12/5/2017,12,0.221
12/6/2017,21.4,36,-2,30.5,5.2,8.3,330,0,12.67,0,73.9,15.7,55,21,30.596,30.249,23,25.3,29,12/6/2017,12,0.347
12/7/2017,25.6,34,1,30.4,5.6,8.9,291,0,12.67,0,73.8,14.6,41,25,30.589,30.226,18.4,27.6,36.1,12/7/2017,12,0.363
12/8/2017,39.1,20,1,30.2,10,15,10,0,12.67,0,73.8,33.8,36,13,30.252,30.12,21.9,33.4,45.8,12/8/2017,12,0.132
12/9/2017,41.9,13,-5.3,30.2,9.4,13.7,52,0,12.67,0,73.8,33.7,18,10,30.347,30.149,20.7,26.5,49.6,12/9/2017,12,0.198
11/17/2017,41.9,56,26.3,29.5,6.3,9.7,357,0.82,12.66,0,73.7,26.1,82,31,29.88,29.274,21.9,31.1,51.1,11/17/2017,11,0.606
11/18/2017,30.3,31,2,30.2,11.8,16.9,323,0.82,12.66,0,73.7,22.4,65,20,30.301,29.88,24.2,35.7,37.5,11/18/2017,11,0.421
11/19/2017,40,17,-2.1,30,11.2,16.2,336,0.82,12.66,0,73.7,29.3,32,10,30.213,29.793,28.8,41.4,49.9,11/19/2017,11,0.42
11/20/2017,45,14,-2.5,29.7,18.5,27.4,274,0.82,12.66,0,73.7,39.2,44,9,29.795,29.602,35.7,50.6,51.7,11/20/2017,11,0.193
11/21/2017,38.3,66,27.1,30.1,6.8,10.6,223,0.83,12.67,0,73.7,30.6,86,36,30.258,29.78,20.7,34.5,46.2,11/21/2017,11,0.478
11/22/2017,48.6,48,29.7,30.1,11.8,17,251,0.83,12.67,0,73.7,43.5,58,36,30.2,30.03,26.5,38,55.7,11/22/2017,11,0.17
11/23/2017,51.6,37,25,29.9,9.5,14,292,0.83,12.67,0,73.7,45.5,57,21,30.1,29.6,25.3,39.1,59.9,11/23/2017,11,0.5
11/24/2017,50,34,21.3,29.7,11.4,17,323,0.83,12.67,0,73.7,40.5,72,18,29.831,29.507,31.1,42.6,59.6,11/24/2017,11,0.324
11/25/2017,48,27,13.7,30,9.5,14,352,0.83,12.67,0,73.7,42.5,44,12,30.076,29.807,23,32.2,56,11/25/2017,11,0.269
11/26/2017,52.5,24,16.3,29.9,6.3,9.3,16,0.83,12.67,0,73.6,42.2,43,15,30.074,29.681,20.7,29.9,63.5,11/26/2017,11,0.393
11/14/2017,48.8,24,13.3,29.8,10.3,15.1,39,0.78,12.62,0,73.6,40.9,36,17,29.937,29.66,23,36.8,58.9,11/14/2017,11,0.277
11/15/2017,39.9,37,14.3,30,6.5,9.9,38,0.78,12.62,0,73.5,24.4,72,14,30.206,29.82,21.9,33.4,53.5,11/15/2017,11,0.386
11/16/2017,50.8,26,16.7,29.6,12.2,17.6,20,0.78,12.62,0,73.5,45.8,39,19,29.82,29.462,29.9,40.3,59.7,11/16/2017,11,0.358
11/7/2017,26.5,86,23,30.3,0.9,1.6,55,0.59,12.42,0,73.5,15.2,90,78,30.382,30.044,6.9,10.4,32.1,11/7/2017,11,0.338
11/8/2017,27,58,11.7,30.3,1.7,2.8,340,0.78,12.62,0,73.5,4.3,86,19,30.496,30.085,12.7,17.3,50.4,11/8/2017,11,0.411
11/9/2017,31.5,54,14.1,30.1,3.6,5.5,25,0.78,12.62,0,73.5,14.1,81,11,30.307,29.846,17.3,26.5,52.8,11/9/2017,11,0.461
11/10/2017,45,36,18.6,29.8,7.5,11.4,2,0.78,12.62,0,73.5,29.5,66,23,29.981,29.66,19.6,31.1,55.1,11/10/2017,11,0.321
11/11/2017,39.7,41,16.4,29.9,6.6,10.3,7,0.78,12.62,0,73.5,27.3,70,25,30.221,29.711,25.3,40.3,49.5,11/11/2017,11,0.51
11/12/2017,36.1,49,14.9,30.3,2.9,4.7,2,0.78,12.62,0,73.5,18,85,15,30.459,29.943,13.8,21.9,56.5,11/12/2017,11,0.516
11/13/2017,47,32,17,30,5.3,7.9,19,0.78,12.62,0,73.5,32.8,58,18,30.19,29.819,18.4,26.5,59.8,11/13/2017,11,0.371
10/27/2017,26.4,74,18.9,30.3,2.4,3.9,67,0.97,11.79,0,73.5,12.9,88,59,30.442,30.18,12.7,17.3,37.3,10/27/2017,10,0.262
10/28/2017,44.1,48,25,30,6.1,9.7,308,0.98,11.8,0,73.5,30.4,71,32,30.184,29.841,20.7,24.2,56.5,10/28/2017,10,0.343
10/29/2017,48.1,42,24.2,29.8,9,13.1,336,0.98,11.8,0,73.5,32.9,82,23,29.893,29.623,26.5,28.8,61.8,10/29/2017,10,0.27
10/30/2017,25.4,82,20.6,30.1,2,3.7,64,0.98,11.8,0,73.5,22.4,88,71,30.27,29.869,8.1,11.5,32.9,10/30/2017,10,0.401
10/31/2017,38.3,45,13.9,29.8,11.1,16.5,307,1.01,11.83,0,73.4,22.4,91,15,30.135,29.306,34.5,57.5,49.9,10/31/2017,10,0.829
11/1/2017,50.4,26,17,29.3,19.9,29.3,259,0,11.83,0,73.3,44.6,31,20,29.411,29.24,39.1,62.1,59.3,11/1/2017,11,0.171
11/2/2017,42.9,55,24.8,29.7,7.1,10.3,180,0,11.83,0,73.3,26.4,89,22,30.086,29.389,26.5,34.5,60.7,11/2/2017,11,0.697
11/3/2017,49.7,33,19.5,29.8,11.2,15.7,241,0,11.83,0,73.3,26,91,17,29.925,29.558,23,34.5,60.1,11/3/2017,11,0.367
11/4/2017,42.9,63,30,29.6,3.7,6,239,0.13,11.96,0,73.3,37,87,35,29.704,29.594,20.7,29.9,50.4,11/4/2017,11,0.11
11/5/2017,35.5,86,31.6,29.8,3.2,4.8,34,0.34,12.17,0,73.3,29.7,94,46,29.936,29.704,11.5,20.7,48.5,11/5/2017,11,0.232
11/6/2017,38.9,59,24.1,29.9,6.2,8.8,313,0.35,12.18,0,73.3,28.8,93,29,30.044,29.751,19.6,26.5,49.5,11/6/2017,11,0.293
10/26/2017,38.7,55,18.5,29.9,5.3,8.4,14,0.94,11.76,0,73.3,23.8,88,16,30.277,29.438,21.9,32.2,54.2,10/26/2017,10,0.839
10/13/2017,42.6,57,23.2,29.9,4.4,6.4,28,0.91,11.73,0,73.3,25.6,88,11,30.141,29.834,27.6,34.5,62.3,10/13/2017,10,0.307
10/14/2017,38.9,36,10.9,30,7.9,12.5,71,0.91,11.73,0,73.3,28.1,87,18,30.276,29.614,27.6,38,48.2,10/14/2017,10,0.662
10/15/2017,45.9,24,8.2,30.3,6.3,9.5,62,0.91,11.73,0,73.3,29.5,58,12,30.389,30.136,19.6,27.6,62.1,10/15/2017,10,0.253
10/16/2017,50.4,19,3,30.1,4.6,7.2,54,0.91,11.73,0,73.2,28.5,58,4,30.312,29.894,18.4,26.5,70.6,10/16/2017,10,0.418
10/17/2017,55.4,14,5,29.9,6.3,9.3,67,0.91,11.73,0,73.2,37.5,28,8,30.136,29.771,17.3,25.3,71,10/17/2017,10,0.365
10/18/2017,52.9,18,7.4,29.9,4.6,6.7,60,0.91,11.73,0,73.2,31.8,49,7,30.044,29.754,16.1,25.3,70.3,10/18/2017,10,0.29
10/19/2017,46,39,18.4,29.9,1.9,3,77,0.91,11.73,0,73.2,24.7,66,12,30.175,29.621,16.1,20.7,73.8,10/19/2017,10,0.554
10/20/2017,55.7,31,24.2,29.4,7.8,11.5,68,0.91,11.73,0,73.2,40.9,49,16,29.641,29.198,25.3,34.5,66.1,10/20/2017,10,0.443
10/21/2017,36.7,31,8.2,29.8,11.4,17.3,270,0.91,11.73,0,73.2,29.1,69,19,30.144,29.291,26.5,48.3,47.9,10/21/2017,10,0.853
10/22/2017,47.4,30,16.8,30,17.3,24.4,333,0.91,11.73,0,73.2,37.6,41,15,30.164,29.859,34.5,50.6,58.9,10/22/2017,10,0.305
10/23/2017,45.3,45,23.9,30.1,10,15.7,325,0.91,11.73,0,73.2,29.1,76,24,30.468,29.781,36.8,56.4,55.7,10/23/2017,10,0.687
10/24/2017,43.6,42,16,30.4,4.5,7.2,15,0.91,11.73,0,73.2,20.5,83,15,30.627,30.109,20.7,32.2,64,10/24/2017,10,0.518
10/25/2017,54.2,21,12.8,29.9,7.1,10.4,336,0.91,11.73,0,73.2,31.9,46,7,30.214,29.475,24.2,34.5,72.5,10/25/2017,10,0.739
10/7/2017,53.7,28,19.5,29.6,13.5,19.2,268,0.6,11.42,0,73.2,42.3,46,13,29.795,29.441,28.8,42.6,72.6,10/7/2017,10,0.354
